Rank,CCA3,Country,Capital,Continent,Area,Density,GrowthRate,WorldPopPercent,1970pop,1980pop,1990pop,2000pop,2010pop,2015pop,2020pop,2022pop
48,MOZ,Mozambique,Maputo,Africa,801590,41.1302,1.0278,0.41,8411676,11413587,13303459,17768505,23073723,26843246,31178239,32969517
26,MMR,Myanmar,Nay Pyi Taw,Asia,676578,80.0784,1.0071,0.68,27284112,33465781,40099553,45538332,49390988,51483949,53423198,54179306
145,NAM,Namibia,Windhoek,Africa,825615,3.1092,1.0146,0.03,754467,975994,1369011,1819141,2099271,2282704,2489098,2567012
225,NRU,Nauru,Yaren,Oceania,21,603.2381,1.0125,0,6663,7635,9598,10377,10241,11185,12315,12668
49,NPL,Nepal,Kathmandu,Asia,147181,207.5511,1.0171,0.38,12501285,15600442,19616530,24559500,27161567,27610325,29348627,30547580
71,NLD,Netherlands,Amsterdam,Europe,41850,419.6897,1.0036,0.22,13037686,14130387,14944548,15899135,16617116,17041107,17434557,17564014
185,NCL,New Caledonia,Nouméa,Oceania,18575,15.6097,1.0075,0,110982,148599,177264,221537,261426,283032,286403,289950
123,NZL,New Zealand,Wellington,Oceania,270467,19.1716,1.0108,0.07,2824061,3147168,3397389,3855266,4346338,4590590,5061133,5185288
106,NIC,Nicaragua,Managua,North America,130373,53.2962,1.0143,0.09,2444767,3303309,4227820,5123222,5855734,6298598,6755895,6948392
54,NER,Niger,Niamey,Africa,1267000,20.6851,1.0378,0.33,4669708,6173177,8370647,11622665,16647543,20128124,24333639,26207977
6,NGA,Nigeria,Abuja,Africa,923768,236.5759,1.0241,2.74,55569264,72951439,95214257,122851984,160952853,183995785,208327405,218541212
232,NIU,Niue,Alofi,Oceania,260,7.4385,0.9985,0,5185,3637,2533,2074,1812,1847,1942,1934
56,PRK,North Korea,Pyongyang,Asia,120538,216.2755,1.0038,0.33,14996879,17973650,20799523,23367059,24686435,25258015,25867467,26069416
150,MKD,North Macedonia,Skopje,Europe,25713,81.4218,0.9954,0.03,1656783,1907023,2044174,2037936,2093828,2107962,2111072,2093599
210,NFK,Northern Mariana Islands,Saipan,Oceania,464,106.7909,1.0014,0,10143,17613,48002,80338,54087,51514,49587,49551
120,NOR,Norway,Oslo,Europe,323802,16.7828,1.0058,0.07,3875546,4085776,4241636,4491202,4889741,5190356,5379839,5434319
127,OMN,Oman,Muscat,Asia,309500,14.7861,1.0123,0.06,670693,1017462,1804524,2344253,2881914,4191776,4543399,4576298
5,PAK,Pakistan,Islamabad,Asia,881912,267.4018,1.0191,2.96,59290872,80624057,115414069,154369924,194454498,210969298,227196741,235824862
222,PLW,Palau,Ngerulmud,Oceania,459,39.3355,1.0017,0,11366,12252,15293,19726,18540,17794,17972,18055
122,PSE,Palestine,Ramallah,Asia,6220,844.063,1.0227,0.07,1118241,1453620,2124609,3139954,3992278,4484614,5019401,5250072
128,PAN,Panama,Panama City,North America,75417,58.4561,1.0132,0.06,1516188,1956987,2449968,3001731,3623617,3957099,4294396,4408581
93,PNG,Papua New Guinea,Port Moresby,Oceania,462840,21.9139,1.0194,0.13,2489059,3104788,3864972,5508297,7583269,8682174,9749640,10142619
109,PRY,Paraguay,Asunción,South America,406752,16.6705,1.0115,0.09,2408787,3078912,4059195,5123819,5768613,6177950,6618695,6780744
44,PER,Peru,Lima,South America,1285216,26.4933,1.0099,0.43,13562371,17492406,22109099,26654439,29229572,30711863,33304756,34049588
13,PHL,Philippines,Manila,Asia,342353,337.5434,1.0147,1.45,37435586,48419546,61558898,77958223,94636700,103031365,112190977,115559009
37,POL,Poland,Warsaw,Europe,312679,127.4698,1.0404,0.5,32482943,35521429,38064255,38504431,38597353,38553146,38428366,39857145
92,PRT,Portugal,Lisbon,Europe,92090,111.5307,0.9981,0.13,8683631,9785252,10007346,10300626,10588401,10365435,10298192,10270865
136,PRI,Puerto Rico,San Juan,North America,8870,366.675,0.9989,0.04,2737619,3214568,3543776,3827108,3717922,3497335,3271564,3252407
143,QAT,Qatar,Doha,Asia,11586,232.6189,1.0026,0.03,118007,277450,441675,645937,1713504,2414573,2760385,2695122
114,COG,Republic of the Congo,Brazzaville,Africa,342000,17.4574,1.0231,0.07,1396989,1829256,2385435,3134030,4437884,5064386,5702174,5970424
